"index","country","continent","year","population","number_of_languages","year_index"
"182","Tonga","Oceania","2018","103197","2","1"
"183","Trinidad and Tobago","North America","2018","1389858","3","1"
"184","Tunisia","Africa","2018","11565204","3","1"
"185","Turkey","Asia","2018","82319724","3","1"
"186","Turkmenistan","Asia","2018","5850908","4","1"
"187","Turks and Caicos Islands","North America","2018","37665","1","1"
"188","Tuvalu","Oceania","2018","11508","3","1"
"189","Uganda","Africa","2018","42723139","10","1"
"190","Ukraine","Europe","2018","44622516","7","1"
"191","United Arab Emirates","Asia","2018","9630959","2","1"
"192","United Kingdom","Europe","2018","66488991","3","1"
"193","United States","North America","2018","327167434","12","1"
"194","Uruguay","South America","2018","3449299","1","1"
"195","Uzbekistan","Asia","2018","32955400","6","1"
"196","Vanuatu","Oceania","2018","292680","3","1"
"197","Venezuela","South America","2014","30045134","3","1"
"198","Vietnam","Asia","2018","95540395","9","1"
"199","Virgin Islands, U.S.","North America","2017","107268","3","1"
"200","Yemen","Asia","2018","28498687","2","1"
"201","Zambia","Africa","2018","17351822","6","1"
"202","Zimbabwe","Africa","2018","14439018","4","1"
